link_id,onstreet,longitude,latitude,direction,postmile,affected_numberof_lanes
717479,SR-101,-118.323233,34.104274,1,6.99,4
717480,SR-101,-118.32497,34.104777,0,7.21,4
717481,SR-101,-118.32826,34.106344,1,7.27,4
717483,SR-101,-118.336981,34.116842,0,8.11,5
717484,SR-101,-118.337707,34.11826,1,8.11,4
717486,SR-101,-118.34809,34.129743,1,9.31,5
717488,SR-101,-118.360056,34.135614,1,10.04,5
717489,SR-101,-118.364384,34.138761,1,10.53,5
717490,SR-101,-118.371241,34.147453,1,11.17,5
717491,SR-101,-118.371101,34.147609,0,11.17,5
717492,SR-101,-118.379347,34.15459,0,11.98,5
717493,SR-101,-118.396181,34.154341,1,12.75,5
717495,SR-101,-118.413263,34.156641,1,13.8,5
717497,SR-101,-118.414555,34.156849,0,13.98,5
717498,SR-101,-118.432729,34.15571,0,15,5
717499,SR-101,-118.448078,34.15666,1,15.81,5
717501,SR-101,-118.449459,34.157319,0,16.01,5
717502,SR-101,-118.474836,34.165205,0,17.59,6
717504,SR-101,-118.491655,34.165185,1,18.5,5
717508,SR-101,-118.518142,34.171122,1,20.15,5
717510,SR-101,-118.519759,34.171278,0,20.34,5
717511,SR-101,-118.532282,34.171961,1,20.96,5
717513,SR-101,-118.536798,34.173386,0,21.38,5
717514,SR-101,-118.550305,34.173443,1,22.07,5
717515,SR-101,-118.554268,34.173701,0,22.36,5
717516,SR-101,-118.570361,34.172308,1,23.22,5
717517,SR-101,-118.571564,34.172094,0,23.4,5
717518,SR-101,-118.587592,34.167902,1,24.23,5
717519,SR-101,-118.589379,34.168375,0,24.45,5
717520,SR-101,-118.596913,34.169315,1,24.76,5
717522,SR-101,-118.60601,34.170876,0,25.45,4
717524,SR-101,-118.630437,34.16212,0,26.86,4
717525,SR-118,-118.604037,34.277423,2,1.95,4
717528,SR-118,-118.586533,34.273566,3,2.8,4
717530,SR-118,-118.58995,34.273364,2,2.8,4
717532,SR-118,-118.557228,34.272594,3,4.52,4
717533,SR-118,-118.555501,34.272195,2,4.68,4
717535,SR-118,-118.538721,34.274753,3,5.65,4
717536,SR-118,-118.535608,34.275124,2,5.83,4
717537,SR-118,-118.504767,34.278125,3,7.68,4
717539,SR-118,-118.503441,34.277938,2,7.73,4
717541,SR-118,-118.49936,34.277675,2,7.99,5
717543,SR-118,-118.493156,34.274395,2,8.51,5
717544,SR-118,-118.492951,34.274594,3,8.51,5
717546,SR-118,-118.48597,34.268923,3,8.93,5
717547,SR-118,-118.486176,34.268737,2,8.93,5
717549,SR-118,-118.680208,34.281745,3,29.36,4
717553,SR-118,-118.679345,34.281421,2,29.53,4
717554,SR-118,-118.86074,34.29266,3,19,2
717557,SR-118,-118.678487,34.281755,3,29.5,4
717558,SR-118,-118.689775,34.281719,3,28.86,4
717560,SR-118,-118.676928,34.281434,2,29.73,4
717562,SR-118,-118.662075,34.27914,3,30.38,4
717565,SR-118,-118.662089,34.278849,2,30.82,4
717566,SR-118,-118.842916,34.294097,3,19.87,2
717568,SR-118,-118.63547,34.267845,2,32.53,4
717570,SR-134,-118.359207,34.153025,2,0.95,4
717571,SR-134,-118.359208,34.153258,3,0.95,4
717572,SR-134,-118.327508,34.153512,3,2.86,4
717573,SR-134,-118.325001,34.153836,2,3.04,4
717576,SR-134,-118.295702,34.15559,3,4.69,4
717578,SR-134,-118.270762,34.15478,2,6.1,4
717580,SR-134,-118.263594,34.156197,2,6.48,4
717797,I-405,-118.44716,34.047688,0,30.95,5
717819,I-405,-118.474071,34.187843,0,41.48,4
717832,I-605,-118.081557,33.809131,1,0.2,4
717847,I-605,-118.095954,33.857215,1,3.68,4
717850,I-605,-118.095719,33.857255,0,3.68,4
717857,I-605,-118.103569,33.880638,0,5.43,6
717859,I-605,-118.104432,33.886381,1,5.74,5
717865,I-605,-118.104902,33.894853,1,6.29,5
717877,I-605,-118.099495,33.935843,1,9.16,4
717896,I-605,-118.080084,33.974116,1,12.12,4
717903,I-605,-118.072041,33.985022,0,13,4
717912,I-605,-118.069019,33.994838,1,13.61,4
717922,I-605,-118.061594,34.006023,0,14.51,4
717929,I-605,-118.051094,34.018906,0,15.66,4
717934,I-605,-118.038173,34.026834,0,16.58,4
717970,I-710,-118.188949,33.889217,1,13.83,5
717995,I-710,-118.170427,33.951319,0,18.51,4
717657,I-210,-118.070345,34.148824,3,29.71,4
716928,I-5,-118.156569,34.007144,1,12.68,4
716991,I-5,-118.36534,34.221848,1,33.58,4
717266,SR-60,-118.1905,34.031718,3,2.05,5
716433,I-105,-118.26225,33.927455,2,8.4,4
717630,I-210,-118.150673,34.151747,3,25.42,4
716875,I-710,-118.173043,34.022403,1,23.71,4
765604,SR-170,-118.382228,34.164151,0,15.26,4
737184,I-10,-118.298907,34.036941,2,13.44,4
737229,I-10,-118.479789,34.019044,2,2.63,3
717081,I-10,-118.133568,34.071638,3,23.38,4
716941,I-5,-118.214355,34.057673,1,18.59,4
716923,I-5,-118.135469,33.985986,0,10.72,4
718384,I-5,-118.291777,34.159044,0,27.2,5
717340,SR-60,-117.906615,33.994082,2,19.42,4
717388,SR-91,-118.211868,33.873655,3,10.48,4
764026,I-10,-118.280585,34.037687,2,14.37,3
771673,I-110,-118.228706,34.077871,0,25.4,4
766505,I-405,-118.270227,33.846279,0,12.05,5
773916,SR-134,-118.285199,34.152466,2,5.5,3
773927,SR-134,-118.28034,34.152615,2,5.7,4
773939,SR-134,-118.372261,34.152971,3,0.38,3
816419,10,-117.263501,34.063978,3,26.14,4
801455,91,-117.602984,33.880351,3,4.33,4
821196,15,-117.324613,34.502756,0,93.12,3
801404,60,-117.245655,33.941166,3,24.69,2
809022,210,-117.5737,34.136016,2,7,3
819047,10,-117.182674,34.061659,2,30.9,4
807818,15,-117.549958,34.010124,0,50.82,3
801267,10,-117.610637,34.070507,3,6.12,4
805628,15,-117.549807,34.047529,0,53.23,4
809485,15,-117.545204,34.078211,1,55.26,5
801291,15,-117.534796,33.84658,1,38.9,4
806751,10,-117.589444,34.067444,2,7.29,5
819703,210,-117.219353,34.13208,3,27.8,2
812648,71,-117.723193,34.000161,0,1.88,3
813980,210,-117.313951,34.145267,2,22.19,3
819185,10,-117.014783,33.954055,3,43.76,3
816047,215,-117.329338,33.970009,0,32.9,3
822677,10,-115.807519,33.660074,2,119.54,2
801595,215,-117.351119,34.002319,0,35.94,3
819723,210,-117.200705,34.07384,2,32.6,4
809968,60,-117.659097,34.030197,2,3.99,4
822241,15,-115.662199,35.448007,0,216.38,3
819181,10,-116.991397,33.933611,2,45.71,3
801397,60,-117.263054,33.941006,3,23.69,2
820356,91,-117.475093,33.899093,2,12.04,3
1212842,55,-117.831126,33.799069,0,14.38,5
1212863,55,-117.831678,33.802277,1,14.58,5
1212865,55,-117.83148,33.802252,0,14.58,5
1212901,55,-117.831859,33.817638,0,15.78,4
1212903,55,-117.83209,33.817663,1,15.78,4
1212916,55,-117.831825,33.812142,0,15.38,5
1212935,55,-117.831049,33.773071,1,12.68,3
1212938,55,-117.830854,33.773183,0,12.68,4
1212955,55,-117.831891,33.823052,0,16.18,4
1212957,55,-117.832122,33.823049,1,16.18,4
1213036,57,-117.875874,33.843676,0,15.77,5
1213041,57,-117.875872,33.847112,0,16.07,3
1213060,91,-117.908278,33.853749,2,7.81,4
1213105,57,-117.875955,33.825124,0,14.57,4
1213106,57,-117.876219,33.825121,1,14.57,5
1213121,57,-117.876222,33.832349,1,15.07,5
1213122,57,-117.875959,33.832352,0,15.07,4
1213133,57,-117.876227,33.843682,1,15.77,6
1213215,5,-117.631599,33.445597,0,4.1,4
1213229,5,-117.631748,33.445448,1,4.1,4
1213274,55,-117.831997,33.808952,1,15.2,4
1213398,91,-117.973747,33.856729,3,4.12,3
1213527,5,-117.700606,33.609644,0,18.17,6
1213528,5,-117.700799,33.609422,1,18.17,6
1213618,57,-117.878371,33.801128,0,12.87,5
1213624,57,-117.878766,33.801122,1,12.87,5
1213650,405,-117.928822,33.693222,0,11.37,5
1213672,57,-117.875442,33.855857,0,16.37,3
1213673,57,-117.875788,33.855825,1,16.37,4
1213680,91,-117.696265,33.873259,2,21.63,5
1213686,91,-117.696423,33.873834,3,21.67,4
1213699,5,-117.671746,33.59031,1,15.8,4
1213700,5,-117.671409,33.590392,0,15.8,4
1213721,57,-117.876135,33.847081,1,16.07,4
1213741,57,-117.878021,33.812058,0,13.57,4
1213742,57,-117.87838,33.812118,1,13.57,4
1213891,91,-118.019826,33.855902,2,1.32,4
1213892,91,-118.019826,33.855902,3,1.32,4
1213963,405,-117.776893,33.65736,0,2.66,4
1213985,91,-117.883154,33.853286,3,9.17,4
1213986,91,-117.883255,33.853097,2,9.13,5
1214005,5,-117.977067,33.855988,0,41.89,4
812588,71,-117.735229,34.012828,0,0.87,3
812601,71,-117.732467,34.009497,1,1.1,3
812609,71,-117.725721,34.003931,0,1.66,3
812651,71,-117.723887,33.999997,1,2.01,3
812654,71,-117.709689,33.984109,0,3.19,3
1204967,5,-117.780831,33.708146,1,26.35,5
1204982,5,-117.781446,33.709184,0,26.56,5
1204997,5,-117.785176,33.712368,1,26.66,5
1205012,5,-117.785042,33.712497,0,26.81,6
1205028,5,-117.794167,33.718716,1,27.43,6
1205045,5,-117.794031,33.7189,0,27.55,5
1205062,5,-117.796503,33.720384,1,27.7,5
1205071,5,-117.796347,33.720526,0,27.56,6
1205088,5,-117.804752,33.726287,0,28.1,5
1205105,5,-117.805113,33.726324,1,28.35,5
1205122,5,-117.814521,33.732894,1,29.02,5
